  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.93255E+02    0.19972E+03   138   201     2
    0.94452E+02    0.20205E+03   139   202     2
    0.95661E+02    0.20677E+03   140   204     2
    0.96883E+02    0.20917E+03   141   205     2
    0.98118E+02    0.21405E+03   142   207     2
    0.99366E+02    0.21653E+03   143   208     2
    0.10063E+03    0.21903E+03   144   209     2
    0.10190E+03    0.22412E+03   145   211     2
    0.10319E+03    0.22670E+03   146   212     2
    0.10449E+03    0.23195E+03   147   214     2
    0.10581E+03    0.23462E+03   148   215     2
    0.10714E+03    0.23731E+03   149   216     2
    0.10848E+03    0.24279E+03   150   218     2
    0.10984E+03    0.24557E+03   151   219     2
    0.11121E+03    0.24838E+03   152   220     2
    0.11260E+03    0.25409E+03   153   222     2
    0.11400E+03    0.25699E+03   154   223     2
    0.11542E+03    0.25993E+03   155   224     2
    0.11685E+03    0.26588E+03   156   226     2
    0.11830E+03    0.26891E+03   157   227     2
    0.11976E+03    0.27197E+03   158   228     2
    0.12124E+03    0.27818E+03   159   230     2
    0.12273E+03    0.28134E+03   160   231     2
    0.12424E+03    0.28453E+03   161   232     2
    0.12576E+03    0.29101E+03   162   234     2
    0.12730E+03    0.29431E+03   163   235     2
    0.12886E+03    0.29763E+03   164   236     2
    0.13044E+03    0.30100E+03   165   237     2
    0.13203E+03    0.30783E+03   166   239     2
    0.13363E+03    0.31130E+03   167   240     2
    0.13526E+03    0.31481E+03   168   241     2
    0.13690E+03    0.32194E+03   169   243     2
    0.13856E+03    0.32556E+03   170   244     2
    0.14024E+03    0.32922E+03   171   245     2
    0.14193E+03    0.33291E+03   172   246     2
    0.14364E+03    0.34043E+03   173   248     2
    0.14538E+03    0.34425E+03   174   249     2
    0.14712E+03    0.34810E+03   175   250     2
    0.14889E+03    0.35200E+03   176   251     2
    0.15068E+03    0.35992E+03   177   253     2
    0.15248E+03    0.36394E+03   178   254     2
    0.15431E+03    0.36801E+03   179   255     2
    0.15615E+03    0.37212E+03   180   256     2
    0.15802E+03    0.38047E+03   181   258     2
    0.15990E+03    0.38471E+03   182   259     2
    0.16180E+03    0.38900E+03   183   260     2
    0.16372E+03    0.39333E+03   184   261     2
    0.16567E+03    0.39770E+03   185   262     2
    0.16763E+03    0.40660E+03   186   264     2
    0.16962E+03    0.41112E+03   187   265     2
    0.17162E+03    0.41568E+03   188   266     2
    0.17365E+03    0.42030E+03   189   267     2
    0.17570E+03    0.42967E+03   190   269     2
    0.17777E+03    0.43444E+03   191   270     2
    0.17986E+03    0.43925E+03   192   271     2
    0.18198E+03    0.44411E+03   193   272     2
    0.18411E+03    0.44903E+03   194   273     2
    0.18627E+03    0.45902E+03   195   275     2
    0.18846E+03    0.46409E+03   196   276     2
    0.19066E+03    0.46922E+03   197   277     2
    0.19289E+03    0.47440E+03   198   278     2
    0.19514E+03    0.47964E+03   199   279     2
    0.19742E+03    0.48493E+03   200   280     2
    0.19972E+03    0.49568E+03   201   282     2
    0.20205E+03    0.50115E+03   202   283     2
    0.20440E+03    0.50667E+03   203   284     2
    0.20677E+03    0.51224E+03   204   285     2
    0.20917E+03    0.51788E+03   205   286     2
    0.21160E+03    0.52934E+03   206   288     2
    0.21405E+03    0.53516E+03   207   289     2
    0.21653E+03    0.54104E+03   208   290     2
    0.21903E+03    0.54698E+03   209   291     2
    0.22156E+03    0.55299E+03   210   292     2
