   10.0500    0.175E+01402.00    0.437358E-01 4020.00    0.850526E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.2000    0.169E+01408.00    0.422011E-01 4080.00    0.820681E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.3500   -0.553E-01414.00   -0.138146E-02 4140.00   -0.268651E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.5000    0.162E+01420.00    0.404227E-01 4200.00    0.786096E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.6500    0.155E+01426.00    0.387611E-01 4260.00    0.753784E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.8000    0.160E+01432.00    0.400493E-01 4320.00    0.778835E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.9500    0.157E+01438.00    0.392403E-01 4380.00    0.763103E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   11.1000    0.149E+01444.00    0.372132E-01 4440.00    0.723682E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   11.2500    0.154E+01450.00    0.385376E-01 4500.00    0.749436E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   11.4000   -0.494E-01456.00   -0.123468E-02 4560.00   -0.240106E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   11.5500    0.148E+01462.00    0.369334E-01 4620.00    0.718240E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   11.7000    0.151E+01468.00    0.378046E-01 4680.00    0.735182E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   11.8500    0.145E+01474.00    0.362804E-01 4740.00    0.705542E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   12.0000    0.143E+01480.00    0.356761E-01 4800.00    0.693790E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   12.1500    0.144E+01486.00    0.359929E-01 4860.00    0.699949E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   12.3000    0.140E+01492.00    0.349424E-01 4920.00    0.679521E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   12.4500   -0.446E-01498.00   -0.111528E-02 4980.00   -0.216888E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   12.6000    0.137E+01504.00    0.341428E-01 5040.00    0.663972E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   12.7500    0.134E+01510.00    0.335316E-01 5100.00    0.652086E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   12.9000    0.132E+01516.00    0.330757E-01 5160.00    0.643219E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   13.0500    0.129E+01522.00    0.322922E-01 5220.00    0.627982E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   13.2000    0.129E+01528.00    0.321472E-01 5280.00    0.625163E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   13.3500    0.127E+01534.00    0.318569E-01 5340.00    0.619518E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   13.5000    0.132E+01540.00    0.329033E-01 5400.00    0.639867E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   13.6500   -0.401E-01546.00   -0.100365E-02 5460.00   -0.195178E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   13.8000    0.122E+01552.00    0.306082E-01 5520.00    0.595235E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   13.9500    0.121E+01558.00    0.301539E-01 5580.00    0.586401E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   14.1000    0.121E+01564.00    0.302970E-01 5640.00    0.589182E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   14.2500    0.121E+01570.00    0.302331E-01 5700.00    0.587939E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   14.4000    0.116E+01576.00    0.290727E-01 5760.00    0.565375E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   14.5500    0.130E+01582.00    0.324405E-01 5820.00    0.630867E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   14.7000   -0.369E-01588.00   -0.922439E-03 5880.00   -0.179386E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   14.8500    0.113E+01594.00    0.282080E-01 5940.00    0.548558E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.0000    0.108E+01600.00    0.269299E-01 6000.00    0.523703E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.1500    0.111E+01606.00    0.276627E-01 6060.00    0.537954E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.3000    0.111E+01612.00    0.276395E-01 6120.00    0.537503E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.4500    0.110E+01618.00    0.274859E-01 6180.00    0.534515E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.6000    0.107E+01624.00    0.267642E-01 6240.00    0.520480E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.7500   -0.341E-01630.00   -0.853138E-03 6300.00   -0.165909E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.9000    0.105E+01636.00    0.263018E-01 6360.00    0.511489E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   16.0500    0.106E+01642.00    0.264606E-01 6420.00    0.514576E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   16.2000    0.104E+01648.00    0.259197E-01 6480.00    0.504057E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
