    7.1500    0.374E+01143.00    0.186992E+00 1430.00    0.363641E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2000    0.368E+01144.00    0.184009E+00 1440.00    0.357841E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2500    0.364E+01145.00    0.182134E+00 1450.00    0.354194E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.3000    0.357E+01146.00    0.178742E+00 1460.00    0.347597E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.3500    0.353E+01147.00    0.176535E+00 1470.00    0.343306E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4000    0.334E+01148.00    0.166988E+00 1480.00    0.324740E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4500    0.344E+01149.00    0.171869E+00 1490.00    0.334233E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.5000    0.340E+01150.00    0.170053E+00 1500.00    0.330700E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.5500    0.335E+01151.00    0.167350E+00 1510.00    0.325444E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6000    0.330E+01152.00    0.164762E+00 1520.00    0.320411E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6500    0.327E+01153.00    0.163381E+00 1530.00    0.317726E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.7000    0.322E+01154.00    0.161222E+00 1540.00    0.313527E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.7500    0.317E+01155.00    0.158636E+00 1550.00    0.308498E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8000    0.314E+01156.00    0.156847E+00 1560.00    0.305018E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8500    0.311E+01157.00    0.155345E+00 1570.00    0.302099E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.9000    0.307E+01158.00    0.153659E+00 1580.00    0.298819E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.9500    0.306E+01159.00    0.153203E+00 1590.00    0.297931E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0000   -0.600E-01160.00   -0.300058E-02 1600.00   -0.583520E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0500    0.295E+01161.00    0.147630E+00 1610.00    0.287095E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.1000    0.294E+01162.00    0.147059E+00 1620.00    0.285985E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.1500    0.287E+01163.00    0.143650E+00 1630.00    0.279354E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2000    0.286E+01164.00    0.143242E+00 1640.00    0.278561E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2500    0.282E+01165.00    0.141120E+00 1650.00    0.274435E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.3000    0.280E+01166.00    0.139828E+00 1660.00    0.271922E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.3500    0.269E+01167.00    0.134582E+00 1670.00    0.261720E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.4000    0.274E+01168.00    0.137249E+00 1680.00    0.266907E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.4500    0.273E+01169.00    0.136585E+00 1690.00    0.265615E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.5000    0.269E+01170.00    0.134498E+00 1700.00    0.261557E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.5500    0.266E+01171.00    0.132822E+00 1710.00    0.258298E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.6000    0.264E+01172.00    0.131784E+00 1720.00    0.256279E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.6500    0.258E+01173.00    0.129145E+00 1730.00    0.251147E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
