   13.4000    0.125E+01402.00    0.416500E-01 4020.00    0.809964E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   13.6000    0.121E+01408.00    0.401811E-01 4080.00    0.781398E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   13.8000   -0.396E-01414.00   -0.131985E-02 4140.00   -0.256670E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   14.0000    0.115E+01420.00    0.384802E-01 4200.00    0.748321E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   14.2000    0.111E+01426.00    0.368619E-01 4260.00    0.716850E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   14.4000    0.115E+01432.00    0.382143E-01 4320.00    0.743150E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   14.6000    0.112E+01438.00    0.374373E-01 4380.00    0.728040E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   14.8000    0.106E+01444.00    0.354506E-01 4440.00    0.689404E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.0000    0.110E+01450.00    0.368281E-01 4500.00    0.716192E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.2000   -0.355E-01456.00   -0.118245E-02 4560.00   -0.229949E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.4000    0.106E+01462.00    0.352964E-01 4620.00    0.686405E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.6000    0.109E+01468.00    0.361881E-01 4680.00    0.703747E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   15.8000    0.104E+01474.00    0.347170E-01 4740.00    0.675137E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   16.0000    0.102E+01480.00    0.341438E-01 4800.00    0.663991E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   16.2000    0.103E+01486.00    0.344978E-01 4860.00    0.670874E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   16.4000    0.100E+01492.00    0.334766E-01 4920.00    0.651015E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   16.6000   -0.321E-01498.00   -0.107043E-02 4980.00   -0.208165E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   16.8000    0.982E+00504.00    0.327448E-01 5040.00    0.636784E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   17.0000    0.965E+00510.00    0.321596E-01 5100.00    0.625405E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   17.2000    0.952E+00516.00    0.317305E-01 5160.00    0.617061E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   17.4000    0.929E+00522.00    0.309702E-01 5220.00    0.602273E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   17.6000    0.926E+00528.00    0.308505E-01 5280.00    0.599946E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   17.8000    0.918E+00534.00    0.305870E-01 5340.00    0.594823E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   18.0000    0.950E+00540.00    0.316647E-01 5400.00    0.615780E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   18.2000   -0.290E-01546.00   -0.965448E-03 5460.00   -0.187750E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   18.4000    0.882E+00552.00    0.294066E-01 5520.00    0.571867E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   18.6000    0.870E+00558.00    0.289847E-01 5580.00    0.563662E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   18.8000    0.875E+00564.00    0.291555E-01 5640.00    0.566983E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   19.0000    0.873E+00570.00    0.291057E-01 5700.00    0.566016E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   19.2000    0.839E+00576.00    0.279653E-01 5760.00    0.543838E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
