# distance (nm) Capacitances(F)
2.000000000000000000e+00 6.097050726744433176e-15
3.000000000000000000e+00 6.096782751875568805e-15
4.000000000000000000e+00 6.096514989143264739e-15
5.000000000000000000e+00 6.096247436133133291e-15
6.000000000000000000e+00 6.095980090488908468e-15
7.000000000000000000e+00 6.095712949910425698e-15
8.000000000000000000e+00 6.095446012151719886e-15
9.000000000000000000e+00 6.095179275019177904e-15
1.000000000000000000e+01 6.094912736369792839e-15
1.100000000000000000e+01 6.094646394109494762e-15
1.200000000000000000e+01 6.094380246191534358e-15
1.300000000000000000e+01 6.094114290614952529e-15
1.400000000000000000e+01 6.093848525423094186e-15
1.500000000000000000e+01 6.093582948702209592e-15
1.600000000000000000e+01 6.093317558580097529e-15
1.700000000000000000e+01 6.093052353224801304e-15
1.800000000000000000e+01 6.092787330843360776e-15
1.900000000000000000e+01 6.092522489680629062e-15
# Totalsim(params=Params(Rtip=20.0, theta_deg=15.0, Hcone=15000.0, Hcant=500.0, Rcant=40000.0, zMax=1000000.0, rhoMax=1000000.0, h0=0.5, d=19.0, Nuni=1, Nr=500, Nz_plus=500, hsam=100.0), dmin=2.0, dmax=20.0, istep=2.0, fname=C-Z.dat), Test=0
