# distance (nm) Capacitances(F)
2.000000000000000000e+00 8.861006316221322838e-18
3.000000000000000000e+00 8.297038436745196322e-18
4.000000000000000000e+00 7.886313072554445592e-18
5.000000000000000000e+00 7.568215701841251917e-18
6.000000000000000000e+00 7.311766832118961463e-18
7.000000000000000000e+00 7.099064132590448349e-18
8.000000000000000000e+00 6.918861460325361415e-18
9.000000000000000000e+00 6.763651996459148531e-18
1.000000000000000000e+01 6.628187962646180033e-18
1.100000000000000000e+01 6.508664823119429245e-18
1.200000000000000000e+01 6.402241980342167120e-18
1.300000000000000000e+01 6.306746371661814139e-18
1.400000000000000000e+01 6.220481314635977373e-18
1.500000000000000000e+01 6.142098829802002790e-18
1.600000000000000000e+01 6.070511787253745378e-18
1.700000000000000000e+01 6.004831890643609653e-18
1.800000000000000000e+01 5.944324916922908109e-18
1.900000000000000000e+01 5.888377775113215778e-18
# Totalsim(params=Params(Rtip=20.0, theta_deg=15.0, Hcone=15000.0, Hcant=500.0, Rcant=40000.0, zMax=1000000.0, rhoMax=1000000.0, h0=0.5, d=19.0, Nuni=50, Nr=500, Nz_plus=500, hsam=0.5), dmin=2.0, dmax=20.0, istep=2.0, fname=C-Z.dat), Test=1
