 #  Z/R                U/pie0RV2                  C/pie0R
  13.80000  4.3557338E+24  8.7114676E+24
  13.86667  4.3182435E+24  8.6364870E+24
  13.93333  4.1953799E+24  8.3907598E+24
  14.00000  4.2962722E+24  8.5925444E+24
  14.06667  4.3678386E+24  8.7356772E+24
  14.13333  4.2928721E+24  8.5857442E+24
  14.20000  3.8584605E+24  7.7169211E+24
  14.26667  4.1224921E+24  8.2449842E+24
  14.33333  4.2018250E+24  8.4036500E+24
  14.40000  4.1031847E+24  8.2063694E+24
  14.46667  4.4458044E+24  8.8916088E+24
  14.53333  4.2400253E+24  8.4800505E+24
  14.60000  4.3605928E+24  8.7211857E+24
  14.66667  2.2379063E+24  4.4758126E+24
  14.73333  4.3149384E+24  8.6298767E+24
  14.80000  5.2031696E+24  1.0406339E+25
  14.86667  4.3465959E+24  8.6931918E+24
  14.93333  3.8886034E+24  7.7772067E+24
  15.00000  4.2582531E+24  8.5165062E+24
  15.06667  4.1972854E+24  8.3945709E+24
  15.13333  1.0319166E+03  2.0638331E+03
  15.20000  3.7766245E+24  7.5532489E+24
  15.26667  3.4864068E+24  6.9728136E+24
  15.33333  3.9687369E+24  7.9374738E+24
  15.40000  4.1193288E+24  8.2386577E+24
  15.46667  3.9596783E+24  7.9193567E+24
  15.53333  3.9380048E+24  7.8760096E+24
  15.60000  4.3539651E+24  8.7079303E+24
  15.66667  4.1492821E+24  8.2985643E+24
  15.73333  4.2780789E+24  8.5561579E+24
  15.80000  4.0507880E+24  8.1015759E+24
  15.86667  4.3087644E+24  8.6175288E+24
  15.93333  4.1010854E+24  8.2021708E+24
  16.00000  4.1735184E+24  8.3470369E+24
  16.06667  2.0998822E+24  4.1997645E+24
  16.13333  4.3305834E+24  8.6611668E+24
  16.20000  4.3198561E+24  8.6397122E+24
  16.26667  5.1197060E+24  1.0239412E+25
  16.33333  3.3414356E+24  6.6828711E+24
  16.40000  4.4587315E+24  8.9174629E+24
  16.46667  4.6615466E+24  9.3230932E+24
  16.53333  4.0282141E+24  8.0564283E+24
  16.60000  1.0296903E+03  2.0593806E+03
  16.66667  4.0273656E+24  8.0547313E+24
  16.73333  4.2208834E+24  8.4417668E+24
  16.80000  4.0963699E+24  8.1927398E+24
  16.86667  4.1486950E+24  8.2973899E+24
  16.93333  4.1286133E+24  8.2572266E+24
  17.00000  4.1679441E+24  8.3358882E+24
  17.06667  4.1086422E+24  8.2172845E+24
  17.13333  4.0431991E+24  8.0863981E+24
  17.20000  3.8810636E+24  7.7621272E+24
  17.26667  3.4774467E+24  6.9548934E+24
  17.33333  2.8211957E+24  5.6423915E+24
  17.40000  3.4369652E+24  6.8739305E+24
  17.46667  1.6872445E+24  3.3744890E+24
  17.53333  4.1866870E+24  8.3733740E+24
  17.60000  4.5901749E+24  9.1803498E+24
  17.66667  4.5774880E+24  9.1549761E+24
  17.73333  2.8253529E+24  5.6507058E+24
  17.80000  4.3367379E+24  8.6734757E+24
  17.86667  3.9278850E+24  7.8557700E+24
  17.93333  3.5561341E+24  7.1122682E+24
  18.00000  4.0314480E+24  8.0628960E+24
  18.06667  1.0275161E+03  2.0550322E+03
  18.13333  4.3923689E+24  8.7847379E+24
  18.20000  4.3550448E+24  8.7100896E+24
  18.26667  4.1823143E+24  8.3646286E+24
  18.33333  4.1285396E+24  8.2570793E+24
  18.40000  4.3157555E+24  8.6315109E+24
  18.46667  4.2809317E+24  8.5618634E+24
  18.53333  4.2715434E+24  8.5430868E+24
  18.60000  4.0335894E+24  8.0671788E+24
  18.66667  4.2037417E+24  8.4074834E+24
  18.73333  4.0463694E+24  8.0927387E+24
  18.80000  4.2888412E+24  8.5776824E+24
  18.86667  1.4791076E+24  2.9582151E+24
  18.93333  3.7839136E+24  7.5678272E+24
  19.00000  4.2671358E+24  8.5342715E+24
  19.06667  4.5920780E+24  9.1841560E+24
  19.13333  4.7101423E+24  9.4202846E+24
  19.20000  2.8967208E+24  5.7934415E+24
  19.26667  3.3504635E+24  6.7009270E+24
  19.33333  4.2512447E+24  8.5024894E+24
  19.40000  3.0263284E+24  6.0526568E+24
  19.46667  4.1925928E+24  8.3851855E+24
  19.53333  1.0253898E+03  2.0507795E+03
  19.60000  4.0097996E+24  8.0195991E+24
  19.66667  3.9733534E+24  7.9467068E+24
  19.73333  4.2185322E+24  8.4370645E+24
  19.80000  4.2503027E+24  8.5006053E+24
  19.86667  4.1741220E+24  8.3482441E+24
  19.93333  4.1877399E+24  8.3754797E+24
  20.00000  4.1082623E+24  8.2165245E+24
  20.06667  4.0955622E+24  8.1911245E+24
  20.13333  4.1888937E+24  8.3777874E+24
  20.20000  4.1381164E+24  8.2762327E+24
  20.26667  1.3635442E+24  2.7270884E+24
  20.33333  3.8150013E+24  7.6300026E+24
  20.40000  3.7876117E+24  7.5752233E+24
  20.46667  3.4688599E+24  6.9377199E+24
  20.53333  3.7504121E+24  7.5008243E+24
  20.60000  2.6298173E+24  5.2596345E+24
  20.66667  4.1377796E+24  8.2755591E+24
  20.73333  3.6693513E+24  7.3387026E+24
  20.80000  3.7433592E+24  7.4867185E+24
  20.86667  3.3987354E+24  6.7974708E+24
  20.93333  1.0234014E+03  2.0468027E+03
  21.00000  4.1152848E+24  8.2305696E+24
  21.06667  3.8942688E+24  7.7885377E+24
  21.13333  3.8872056E+24  7.7744112E+24
  21.20000  3.9169020E+24  7.8338039E+24
  21.26667  4.1012270E+24  8.2024539E+24
  21.33333  4.0282962E+24  8.0565924E+24
  21.40000  4.0682785E+24  8.1365571E+24
  21.46667  4.0332437E+24  8.0664873E+24
  21.53333  3.8369428E+24  7.6738856E+24
  21.60000  3.8738601E+24  7.7477203E+24
  21.66667  1.2268895E+24  2.4537791E+24
  21.73333  3.6999935E+24  7.3999870E+24
  21.80000  3.5329346E+24  7.0658693E+24
  21.86667  3.6824730E+24  7.3649460E+24
  21.93333  3.9376240E+24  7.8752481E+24
  22.00000  2.4446530E+24  4.8893060E+24
  22.06667  4.2082036E+24  8.4164072E+24
  22.13333  3.2248977E+24  6.4497955E+24
  22.20000  3.4144239E+24  6.8288478E+24
  22.26667  3.5233036E+24  7.0466072E+24
  22.33333  3.7051538E+24  7.4103076E+24
  22.40000  1.0213586E+03  2.0427172E+03
  22.46667  3.9481688E+24  7.8963375E+24
  22.53333  4.0269517E+24  8.0539033E+24
  22.60000  3.8664460E+24  7.7328920E+24
  22.66667  3.8952167E+24  7.7904334E+24
  22.73333  3.8866127E+24  7.7732254E+24
  22.80000  3.9835690E+24  7.9671380E+24
  22.86667  3.9241127E+24  7.8482254E+24
  22.93333  3.9181505E+24  7.8363009E+24
  23.00000  3.8835018E+24  7.7670037E+24
  23.06667  1.1597284E+24  2.3194569E+24
  23.13333  3.7406320E+24  7.4812640E+24
  23.20000  3.7633675E+24  7.5267349E+24
  23.26667  3.7019837E+24  7.4039674E+24
  23.33333  3.6386223E+24  7.2772446E+24
  23.40000  3.2965986E+24  6.5931972E+24
  23.46667  2.4120600E+24  4.8241200E+24
  23.53333  2.0329818E+24  4.0659636E+24
  23.60000  2.7993296E+24  5.5986592E+24
  23.66667  2.8974022E+24  5.7948044E+24
  23.73333  4.1999968E+24  8.3999936E+24
  23.80000  3.6606130E+24  7.3212261E+24
  23.86667  1.0193544E+03  2.0387089E+03
  23.93333  3.7525417E+24  7.5050835E+24
  24.00000  3.6919349E+24  7.3838698E+24
  24.06667  4.1120828E+24  8.2241655E+24
  24.13333  4.0735704E+24  8.1471407E+24
  24.20000  4.0097621E+24  8.0195242E+24
  24.26667  3.9694458E+24  7.9388915E+24
  24.33333  3.9688167E+24  7.9376334E+24
  24.40000  3.8917383E+24  7.7834767E+24
  24.46667  9.8309158E+23  1.9661832E+24
  24.53333  3.8880484E+24  7.7760967E+24
  24.60000  3.9623268E+24  7.9246535E+24
  24.66667  4.0003566E+24  8.0007132E+24
  24.73333  4.0280548E+24  8.0561097E+24
  24.80000  4.1664298E+24  8.3328597E+24
  24.86667  2.0380886E+24  4.0761772E+24
  24.93333  4.0410652E+24  8.0821304E+24
  25.00000  2.8335423E+24  5.6670845E+24
