 
 # along tip axis: rho=0, s=   2.00000000000000     
  4.50   -0.117673E+00    0.2250   -0.235E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  5.00   -0.657455E-01    0.2500   -0.131E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  5.50    0.000000E+00    0.2750    0.000E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  5.98    0.000000E+00    0.2992    0.000E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 
 # along tip axis: rho=0, s=   6.00000000000000     
 -1.10   -0.197124E-01   -0.0551   -0.394E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 -0.50   -0.206896E-01   -0.0250   -0.414E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  0.00   -0.435957E-01    0.0000   -0.872E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  0.50   -0.664749E-01    0.0250   -0.133E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  1.00   -0.675097E-01    0.0500   -0.135E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  1.50   -0.687005E-01    0.0750   -0.137E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  2.00   -0.700558E-01    0.1000   -0.140E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  2.50   -0.715960E-01    0.1250   -0.143E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  3.00   -0.733717E-01    0.1500   -0.147E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  3.50   -0.755123E-01    0.1750   -0.151E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  4.00   -0.783489E-01    0.2000   -0.157E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  4.50   -0.827416E-01    0.2250   -0.165E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  5.00   -0.909777E-01    0.2500   -0.182E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  5.50   -0.109343E+00    0.2750   -0.219E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  6.00   -0.611068E-01    0.3000   -0.122E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  6.50    0.000000E+00    0.3250    0.000E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  6.98    0.000000E+00    0.3492    0.000E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 
 # along tip axis: rho=0, s=   7.00000000000000     
 -1.10   -0.177613E-01   -0.0551   -0.355E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 -0.50   -0.185929E-01   -0.0250   -0.372E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  0.00   -0.390689E-01    0.0000   -0.781E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  0.50   -0.595204E-01    0.0250   -0.119E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  1.00   -0.603957E-01    0.0500   -0.121E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  1.50   -0.613998E-01    0.0750   -0.123E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  2.00   -0.625353E-01    0.1000   -0.125E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  2.50   -0.638061E-01    0.1250   -0.128E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  3.00   -0.652199E-01    0.1500   -0.130E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  3.50   -0.667955E-01    0.1750   -0.134E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  4.00   -0.685804E-01    0.2000   -0.137E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  4.50   -0.706956E-01    0.2250   -0.141E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  5.00   -0.734519E-01    0.2500   -0.147E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  5.50   -0.776571E-01    0.2750   -0.155E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  6.00   -0.854608E-01    0.3000   -0.171E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  6.50   -0.102772E+00    0.3250   -0.206E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  7.00   -0.574456E-01    0.3500   -0.115E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
