  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.78315E+02    0.17868E+03   138   211     2
    0.79215E+02    0.18273E+03   139   213     2
    0.80124E+02    0.18479E+03   140   214     2
    0.81044E+02    0.18897E+03   141   216     2
    0.81973E+02    0.19325E+03   142   218     2
    0.82913E+02    0.19543E+03   143   219     2
    0.83864E+02    0.19985E+03   144   221     2
    0.84825E+02    0.20210E+03   145   222     2
    0.85797E+02    0.20667E+03   146   224     2
    0.86779E+02    0.21134E+03   147   226     2
    0.87772E+02    0.21372E+03   148   227     2
    0.88777E+02    0.21855E+03   149   229     2
    0.89792E+02    0.22101E+03   150   230     2
    0.90819E+02    0.22600E+03   151   232     2
    0.91858E+02    0.22854E+03   152   233     2
    0.92907E+02    0.23370E+03   153   235     2
    0.93969E+02    0.23633E+03   154   236     2
    0.95042E+02    0.24166E+03   155   238     2
    0.96127E+02    0.24438E+03   156   239     2
    0.97224E+02    0.24989E+03   157   241     2
    0.98334E+02    0.25270E+03   158   242     2
    0.99455E+02    0.25840E+03   159   244     2
    0.10059E+03    0.26130E+03   160   245     2
    0.10174E+03    0.26719E+03   161   247     2
    0.10290E+03    0.27019E+03   162   248     2
    0.10407E+03    0.27628E+03   163   250     2
    0.10525E+03    0.27937E+03   164   251     2
    0.10645E+03    0.28567E+03   165   253     2
    0.10766E+03    0.28887E+03   166   254     2
    0.10889E+03    0.29211E+03   167   255     2
    0.11013E+03    0.29869E+03   168   257     2
    0.11138E+03    0.30204E+03   169   258     2
    0.11265E+03    0.30884E+03   170   260     2
    0.11393E+03    0.31230E+03   171   261     2
    0.11522E+03    0.31579E+03   172   262     2
    0.11653E+03    0.32290E+03   173   264     2
    0.11785E+03    0.32652E+03   174   265     2
    0.11919E+03    0.33387E+03   175   267     2
    0.12055E+03    0.33760E+03   176   268     2
    0.12191E+03    0.34138E+03   177   269     2
    0.12330E+03    0.34906E+03   178   271     2
    0.12470E+03    0.35297E+03   179   272     2
    0.12611E+03    0.35692E+03   180   273     2
    0.12754E+03    0.36494E+03   181   275     2
    0.12899E+03    0.36903E+03   182   276     2
    0.13045E+03    0.37315E+03   183   277     2
    0.13193E+03    0.38154E+03   184   279     2
    0.13342E+03    0.38581E+03   185   280     2
    0.13493E+03    0.39012E+03   186   281     2
    0.13646E+03    0.39889E+03   187   283     2
    0.13800E+03    0.40335E+03   188   284     2
    0.13957E+03    0.40786E+03   189   285     2
    0.14115E+03    0.41241E+03   190   286     2
    0.14274E+03    0.42168E+03   191   288     2
    0.14436E+03    0.42639E+03   192   289     2
    0.14599E+03    0.43115E+03   193   290     2
    0.14764E+03    0.44084E+03   194   292     2
    0.14931E+03    0.44576E+03   195   293     2
    0.15100E+03    0.45074E+03   196   294     2
    0.15270E+03    0.45577E+03   197   295     2
    0.15443E+03    0.46601E+03   198   297     2
    0.15617E+03    0.47121E+03   199   298     2
    0.15794E+03    0.47647E+03   200   299     2
    0.15972E+03    0.48179E+03   201   300     2
    0.16152E+03    0.49261E+03   202   302     2
    0.16335E+03    0.49811E+03   203   303     2
    0.16519E+03    0.50366E+03   204   304     2
    0.16705E+03    0.50929E+03   205   305     2
    0.16894E+03    0.52071E+03   206   307     2
    0.17084E+03    0.52652E+03   207   308     2
    0.17277E+03    0.53240E+03   208   309     2
    0.17472E+03    0.53834E+03   209   310     2
    0.17669E+03    0.55042E+03   210   312     2
    0.17868E+03    0.55656E+03   211   313     2
    0.18069E+03    0.56276E+03   212   314     2
    0.18273E+03    0.56904E+03   213   315     2
