# distance (nm) Capacitances(F)
2.000000000000000000e+00 6.127210583020641804e-15
3.000000000000000000e+00 6.126600581346648371e-15
4.000000000000000000e+00 6.126076417920128185e-15
5.000000000000000000e+00 6.125603348220731497e-15
6.000000000000000000e+00 6.125164159652747729e-15
7.000000000000000000e+00 6.124749086268506623e-15
8.000000000000000000e+00 6.124352061383092308e-15
9.000000000000000000e+00 6.123969062330615555e-15
1.000000000000000000e+01 6.123597286888583539e-15
1.100000000000000000e+01 6.123234705969873566e-15
1.200000000000000000e+01 6.122879803714976198e-15
1.300000000000000000e+01 6.122531418140430272e-15
1.400000000000000000e+01 6.122188639061806582e-15
1.500000000000000000e+01 6.121850740275443935e-15
1.600000000000000000e+01 6.121517133088062916e-15
1.700000000000000000e+01 6.121187333619706470e-15
1.800000000000000000e+01 6.120860939262888032e-15
1.900000000000000000e+01 6.120537611389118866e-15
# Totalsim(params=ParamsSample(Rtip=20.0, theta_deg=15.0, Hcone=15000.0, Hcant=500.0, Rcant=40000.0, zMax=1000000.0, rhoMax=1000000.0, h0=0.5, d=19.0, Nuni=1, Nr=500, Nz_plus=500, hsam=1.0, eps_r=3.0, equally_spaced_sample=True), dmin=2.0, dmax=20.0, istep=2.0, fname=C-Z.dat, Test=0)
