# distance (nm) Capacitances(F)
2.000000000000000000e+00 6.127099753196704747e-15
3.000000000000000000e+00 6.126507998121401707e-15
4.000000000000000000e+00 6.125994125589494477e-15
5.000000000000000000e+00 6.125527648866528751e-15
6.000000000000000000e+00 6.125093041562400303e-15
7.000000000000000000e+00 6.124681336629715352e-15
8.000000000000000000e+00 6.124286893893033039e-15
9.000000000000000000e+00 6.123905938765783421e-15
1.000000000000000000e+01 6.123535822969552560e-15
1.100000000000000000e+01 6.123174617915115980e-15
1.200000000000000000e+01 6.122820876085689744e-15
1.300000000000000000e+01 6.122473483564091352e-15
1.400000000000000000e+01 6.122131564938996264e-15
1.500000000000000000e+01 6.121794419774513201e-15
1.600000000000000000e+01 6.121461478871368428e-15
1.700000000000000000e+01 6.121132273365748137e-15
1.800000000000000000e+01 6.120806412401947363e-15
1.900000000000000000e+01 6.120483566678758089e-15
# Totalsim(params=Params(Rtip=20.0, theta_deg=15.0, Hcone=15000.0, Hcant=500.0, Rcant=40000.0, zMax=1000000.0, rhoMax=1000000.0, h0=0.5, d=19.0, Nuni=1, Nr=500, Nz_plus=500, hsam=0.5), dmin=2.0, dmax=20.0, istep=2.0, fname=C-Z.dat), Test=0
