    7.1500    0.447E+01143.00    0.223591E+00 1430.00    0.434815E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2000    0.446E+01144.00    0.222767E+00 1440.00    0.433212E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2500    0.440E+01145.00    0.220125E+00 1450.00    0.428076E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.3000    0.436E+01146.00    0.218019E+00 1460.00    0.423979E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.3500    0.434E+01147.00    0.217065E+00 1470.00    0.422124E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4000    0.420E+01148.00    0.209944E+00 1480.00    0.408277E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4500    0.423E+01149.00    0.211396E+00 1490.00    0.411099E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.5000    0.417E+01150.00    0.208690E+00 1500.00    0.405838E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.5500    0.414E+01151.00    0.207209E+00 1510.00    0.402957E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6000    0.420E+01152.00    0.209811E+00 1520.00    0.408017E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6500    0.408E+01153.00    0.204238E+00 1530.00    0.397180E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.7000    0.404E+01154.00    0.201826E+00 1540.00    0.392489E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.7500    0.438E+01155.00    0.218932E+00 1550.00    0.425755E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8000    0.382E+01156.00    0.191127E+00 1560.00    0.371684E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8500    0.403E+01157.00    0.201731E+00 1570.00    0.392304E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.9000    0.383E+01158.00    0.191398E+00 1580.00    0.372210E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.9500    0.474E+01159.00    0.237136E+00 1590.00    0.461156E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0000   -0.688E-01160.00   -0.344233E-02 1600.00   -0.669426E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0500    0.379E+01161.00    0.189700E+00 1610.00    0.368908E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.1000    0.376E+01162.00    0.187973E+00 1620.00    0.365550E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.1500    0.370E+01163.00    0.185206E+00 1630.00    0.360168E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2000    0.369E+01164.00    0.184679E+00 1640.00    0.359144E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2500    0.367E+01165.00    0.183457E+00 1650.00    0.356766E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.3000    0.361E+01166.00    0.180360E+00 1660.00    0.350744E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.3500    0.349E+01167.00    0.174294E+00 1670.00    0.338947E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.4000    0.355E+01168.00    0.177322E+00 1680.00    0.344837E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.4500    0.353E+01169.00    0.176614E+00 1690.00    0.343460E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.5000    0.353E+01170.00    0.176650E+00 1700.00    0.343529E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.5500    0.350E+01171.00    0.174985E+00 1710.00    0.340291E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.6000    0.342E+01172.00    0.170986E+00 1720.00    0.332515E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.6500    0.338E+01173.00    0.168944E+00 1730.00    0.328543E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.7000    0.344E+01174.00    0.171788E+00 1740.00    0.334074E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.7500    0.339E+01175.00    0.169584E+00 1750.00    0.329789E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.8000    0.331E+01176.00    0.165318E+00 1760.00    0.321492E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.8500    0.336E+01177.00    0.167872E+00 1770.00    0.326458E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.9000    0.333E+01178.00    0.166488E+00 1780.00    0.323767E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.9500    0.334E+01179.00    0.167003E+00 1790.00    0.324769E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.0000    0.251E+01180.00    0.125301E+00 1800.00    0.243672E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.0500    0.328E+01181.00    0.164212E+00 1810.00    0.319342E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.1000    0.315E+01182.00    0.157615E+00 1820.00    0.306513E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.1500    0.322E+01183.00    0.161130E+00 1830.00    0.313348E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.2000    0.314E+01184.00    0.157094E+00 1840.00    0.305499E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.2500    0.311E+01185.00    0.155385E+00 1850.00    0.302176E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.3000    0.307E+01186.00    0.153539E+00 1860.00    0.298586E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.3500    0.310E+01187.00    0.154820E+00 1870.00    0.301076E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.4000    0.306E+01188.00    0.152899E+00 1880.00    0.297341E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.4500    0.350E+01189.00    0.175141E+00 1890.00    0.340595E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.5000    0.287E+01190.00    0.143348E+00 1900.00    0.278767E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.5500    0.293E+01191.00    0.146322E+00 1910.00    0.284550E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.6000    0.306E+01192.00    0.153196E+00 1920.00    0.297918E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.6500    0.276E+01193.00    0.137891E+00 1930.00    0.268155E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.7000    0.294E+01194.00    0.147214E+00 1940.00    0.286286E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.7500    0.293E+01195.00    0.146331E+00 1950.00    0.284568E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.8000   -0.549E-01196.00   -0.274381E-02 1960.00   -0.533585E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.8500    0.285E+01197.00    0.142264E+00 1970.00    0.276659E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.9000    0.282E+01198.00    0.140991E+00 1980.00    0.274184E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.9500    0.279E+01199.00    0.139661E+00 1990.00    0.271597E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.0000    0.277E+01200.00    0.138576E+00 2000.00    0.269487E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
